type,topic,source,title,body,tag,payload
fact,Interview Prep,llm,"Java's treeified buckets","Since Java 8, a HashMap bucket that grows past 8 entries converts its chain into a red-black tree, capping worst-case lookup at O(log n) instead of O(n). A nice detail to drop when an interviewer pushes on worst cases.","Hashing",
fact,Interview Prep,llm,"State both cases","When your solution leans on a hash map, quote O(1) average and add that the worst case is O(n) under pathological collisions but is not a practical concern here. That one sentence preempts the standard follow-up.","Hashing",
quiz,Interview Prep,llm,"Quiz: Worst-case lookup","What is the worst-case lookup time in a classic chained hash map with no treeification?","Hashing","{""options"": [""O(1)"", ""O(log n)"", ""O(n)"", ""O(n log n)""], ""correct"": ""O(n)"", ""explain"": ""If every key hashes to the same bucket, lookup degenerates into scanning one list holding all n entries.""}"
fact,Interview Prep,llm,"The equals and hashCode contract","The contract: equal objects must produce equal hash codes. Unequal objects may share a hash — that is just a collision. Break the contract and equal keys land in different buckets, making stored values unfindable.","Hashing",
fact,Interview Prep,llm,"Overriding one without the other","The classic Java bug: overriding equals without hashCode. Two logically equal objects get different default hashes, so a map lookup with an equal key misses. Python has the same rule with eq and hash; tuples of fields make easy keys.","Hashing",
fact,Interview Prep,llm,"Hashing a composite key","Need a pair or coordinate as a key? Use a tuple in Python, or in Java combine fields like 31 times x plus y, or encode as r times cols plus c for grid cells. Immutable keys only — mutating a key after insert strands the entry.","Hashing",
quiz,Interview Prep,llm,"Quiz: The contract","Two objects are equal according to equals(). What does the hashing contract require?","Hashing","{""options"": [""They must have equal hash codes"", ""They must be the same object"", ""Their hashes must differ"", ""Nothing is required""], ""correct"": ""They must have equal hash codes"", ""explain"": ""Equal objects must hash identically or they land in different buckets and lookups fail. The reverse is not required — unequal objects may collide.""}"
fact,Interview Prep,llm,"HashMap vs TreeMap","HashMap gives O(1) average operations with no ordering; TreeMap is a red-black tree giving O(log n) operations with keys always sorted. TreeMap also answers range and neighbor queries — floorKey, ceilingKey — that a hash map simply cannot.","Hashing",
fact,Interview Prep,llm,"When order matters","Reach for an ordered map when you need smallest or largest key, the closest key to a value, or in-order iteration — think calendar booking or a time-based key-value store. If you only ever look up exact keys, the hash map's O(1) wins.","Hashing",
fact,Interview Prep,llm,"Python's dict ordering caveat","Python dicts preserve insertion order, which is not sorted order. For a sorted-key structure Python has no built-in TreeMap; interviews allow assuming a sorted container or using the sortedcontainers library — say the assumption out loud.","Hashing",
quiz,Interview Prep,llm,"Quiz: Closest key query","You need the largest key less than or equal to a query value. Which structure answers this in O(log n)?","Hashing","{""options"": [""HashMap"", ""TreeMap"", ""ArrayList"", ""HashSet""], ""correct"": ""TreeMap"", ""explain"": ""A TreeMap keeps keys sorted in a balanced BST, so floor and ceiling queries are O(log n) tree descents. Hash maps scatter keys and cannot answer neighbor queries.""}"
fact,Interview Prep,llm,"Complement lookup","Two sum in O(n): for each number, check whether target minus it is already in your hash map, then insert the current number. One pass, and the pattern — look up the thing that would complete the answer — generalizes everywhere.","Hashing",
fact,Interview Prep,llm,"Frequency maps","Count occurrences with map[x] += 1 while scanning. Frequency maps drive anagram grouping, top-k frequent elements, majority element checks, and character-window problems. If a problem says count or most common, start here.","Hashing",
fact,Interview Prep,llm,"Index maps","Map each value to the index where it appeared to answer where did I last see this in O(1). This powers two sum returning indices, detecting duplicates within distance k, and finding the first repeated character.","Hashing",
quiz,Interview Prep,llm,"Quiz: Two sum pattern","In one-pass two sum, what do you check before inserting the current number into the hash map?","Hashing","{""options"": [""Whether the number itself is present"", ""Whether target minus the number is present"", ""Whether the map is full"", ""Whether the number is positive""], ""correct"": ""Whether target minus the number is present"", ""explain"": ""If the complement has already been seen, the pair is complete. Checking before inserting also prevents pairing an element with itself.""}"
